titles,authors,images,urls,name,search
"Anunciação, circa 1600",El Greco,https://assets.masp.org.br/uploads/collection/Zm1dJviLS7aPJx0YIirrPVR208i8GFKo.jpg,https://masp.org.br/acervo/obra/anunciacao,anunciacao,anunciacao site:https://masp.org.br/acervo/
"Êxtase de são Francisco com os estigmas, 1600",El Greco,https://assets.masp.org.br/uploads/collection/oD8h1NmKSfJEy5e5bjBHktLurxvqBvBg.jpg,https://masp.org.br/acervo/obra/extase-de-sao-francisco-com-os-estigmas,extase-de-sao-francisco-com-os-estigmas,extase-de-sao-francisco-com-os-estigmas site:https://masp.org.br/acervo/
"Aparição da Virgem com o Menino a santo Ubaldo, bispo de Gubbio, que indica ao fundo a cidade de Pesaro, 1620","Jacopo Palma, o Jovem",https://assets.masp.org.br/uploads/collection/6nMfn7uatJggkGqeMCOvoFMbHcuFDhVu.jpg,https://masp.org.br/acervo/obra/aparicao-da-virgem-com-o-menino-a-santo-ubaldo-bispo-de-gubbio-que-indica-ao-fundo-a-cidade-de-pesaro,aparicao-da-virgem-com-o-menino-a-santo-ubaldo-bispo-de-gubbio-que-indica-ao-fundo-a-cidade-de-pesaro,aparicao-da-virgem-com-o-menino-a-santo-ubaldo-bispo-de-gubbio-que-indica-ao-fundo-a-cidade-de-pesaro site:https://masp.org.br/acervo/
"Retrato da marquesa Lomellini, com os filhos em oração, circa 1623",Anthony van Dyck,https://assets.masp.org.br/uploads/collection/W1MYSj3bftPjhzTAOTfUOaimo72Kjoiw.jpg,https://masp.org.br/acervo/obra/retrato-da-marquesa-lomellini-com-os-filhos-em-oracao,retrato-da-marquesa-lomellini-com-os-filhos-em-oracao,retrato-da-marquesa-lomellini-com-os-filhos-em-oracao site:https://masp.org.br/acervo/
"Retrato do conde-duque de Olivares, 1624",Diego Velázquez,https://assets.masp.org.br/uploads/collection/WaYTrEfITjc4oBsU734bgxXJlAsXR4Zj.jpg,https://masp.org.br/acervo/obra/retrato-do-conde-duque-de-olivares,retrato-do-conde-duque-de-olivares,retrato-do-conde-duque-de-olivares site:https://masp.org.br/acervo/
,,,https://masp.org.br/acervo/obra/sem-titulo-aparicao-do-menino-jesus-a-santo-antonio-de-padua,sem-titulo-aparicao-do-menino-jesus-a-santo-antonio-de-padua,sem-titulo-aparicao-do-menino-jesus-a-santo-antonio-de-padua site:https://masp.org.br/acervo/
"Oficial sentado, 1631",Frans Hals,https://assets.masp.org.br/uploads/collection/l7UJ9OpSTl2lTIycqw0PfqsS1eyt7DPK.jpg,https://masp.org.br/acervo/obra/oficial-sentado,oficial-sentado,oficial-sentado site:https://masp.org.br/acervo/
"Himeneus travestido assistindo a uma dança em honra a Príapo, 1634-38",Nicolas Poussin,https://assets.masp.org.br/uploads/collection/fNK0NFDtBmiVJXbAbAtAwVBcB3pCoOzK.jpg,https://masp.org.br/acervo/obra/himeneus-travestido-assistindo-a-uma-danca-em-honra-a-priapo,himeneus-travestido-assistindo-a-uma-danca-em-honra-a-priapo,himeneus-travestido-assistindo-a-uma-danca-em-honra-a-priapo site:https://masp.org.br/acervo/
"Retrato de jovem com corrente de ouro (autorretrato com corrente de ouro), circa 1635",Rembrandt e Ateliê,https://assets.masp.org.br/uploads/collection/otJgk8y1K9gMYrpPdLFUo8G2CnmmNLHS.jpg,https://masp.org.br/acervo/obra/retrato-de-jovem-com-corrente-de-ouro-autorretrato-com-corrente-de-ouro,retrato-de-jovem-com-corrente-de-ouro-autorretrato-com-corrente-de-ouro,retrato-de-jovem-com-corrente-de-ouro-autorretrato-com-corrente-de-ouro site:https://masp.org.br/acervo/
"O capitão Andries van Hoorn, 1638",Frans Hals,https://assets.masp.org.br/uploads/collection/rNv8meqielngmD2yYtzHTqetKPbCln7F.jpg,https://masp.org.br/acervo/obra/o-capitao-andries-van-hoorn,o-capitao-andries-van-hoorn,o-capitao-andries-van-hoorn site:https://masp.org.br/acervo/
"Maria Pietersdochter Olycan, 1638",Frans Hals,https://assets.masp.org.br/uploads/collection/KxfBc9K6fkM9v8j7TfRLDwuOZWb6e88h.jpg,https://masp.org.br/acervo/obra/maria-pietersdochter-olycan,maria-pietersdochter-olycan,maria-pietersdochter-olycan site:https://masp.org.br/acervo/
"Retrato de um desconhecido (William Howard, visconde de Stafford [?]), 1638-40",Anthony van Dyck,https://assets.masp.org.br/uploads/collection/K9w8fj3PWlB5WxjYTmUnmaA0MPW4U1mS.jpg,https://masp.org.br/acervo/obra/retrato-de-um-desconhecido-william-howard-visconde-de-stafford,retrato-de-um-desconhecido-william-howard-visconde-de-stafford,retrato-de-um-desconhecido-william-howard-visconde-de-stafford site:https://masp.org.br/acervo/
"Santa Inês, 1635-42",Francisco Zurbarán (Círculo de),https://assets.masp.org.br/uploads/collection/qasQZfTKDtSjX6U7c6iwUUcEfExtRJmx.jpg,https://masp.org.br/acervo/obra/santa-ines,santa-ines,santa-ines site:https://masp.org.br/acervo/
"Cachoeira de Paulo Afonso, 1649",Frans Post,https://assets.masp.org.br/uploads/collection/edgLzjPF4WT39XD8CgZAq1YUvoOMD7Pf.jpg,https://masp.org.br/acervo/obra/cachoeira-de-paulo-afonso,cachoeira-de-paulo-afonso,cachoeira-de-paulo-afonso site:https://masp.org.br/acervo/
"O príncipe Johan Maurits van Nassau-Siegen, Sem data",Jan de Baen (Ateliê),https://assets.masp.org.br/uploads/collection/xMkoD4sllUkFWjiU6ZCw6h0xwwK3hMD6.jpg,https://masp.org.br/acervo/obra/o-principe-johan-maurits-van-nassau-siegen,o-principe-johan-maurits-van-nassau-siegen,o-principe-johan-maurits-van-nassau-siegen site:https://masp.org.br/acervo/
"Paisagem com tamanduá, circa 1660",Frans Post,https://assets.masp.org.br/uploads/collection/i6WFEzRMZ4peAd5P4WLY5Rp8U99cKCqZ.jpg,https://masp.org.br/acervo/obra/paisagem-com-tamandua,paisagem-com-tamandua,paisagem-com-tamandua site:https://masp.org.br/acervo/
"Paisagem fluvial com balsa transportando animais, circa 1650",Salomon van Ruysdael,https://assets.masp.org.br/uploads/collection/fyuEauI06hObIEqwJXji4ajkjZiEhytW.jpg,https://masp.org.br/acervo/obra/paisagem-fluvial-com-balsa-transportando-animais,paisagem-fluvial-com-balsa-transportando-animais,paisagem-fluvial-com-balsa-transportando-animais site:https://masp.org.br/acervo/
"O arquiduque Alberto VII da Aústria, 1615-32",Peter Paul Rubens,https://assets.masp.org.br/uploads/collection/BfvyOTk9TF8qX0LfzpcrFeBfvcuXqNie.jpg,https://masp.org.br/acervo/obra/o-arquiduque-alberto-vii-da-austria,o-arquiduque-alberto-vii-da-austria,o-arquiduque-alberto-vii-da-austria site:https://masp.org.br/acervo/
"Marinha, 1951",José Pancetti,https://assets.masp.org.br/uploads/collection/kzE5x7nav8PPJGGutXxJqD3MC3U4mkQj.jpg,https://masp.org.br/acervo/obra/marinha,marinha,marinha site:https://masp.org.br/acervo/
